epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2473,0.44082,2.05696,1.09811,0.34083,0.57566,0.39604,0.39471,0.17195,1.99719,1.09547,0.00333022,0.00333022,0.00333022
2,116.577,0.27979,1.50248,0.94063,0.4142,0.4604,0.39031,0.38799,0.11095,2.2692,1.07211,0.00666192,0.00666192,0.00666192
3,170.321,0.31648,1.51317,0.9459,0.3523,0.57538,0.37231,0.36803,0.19004,2.89993,1.10584,0.00998712,0.00998712,0.00998712
4,222.226,0.29368,1.5175,0.94178,0.41015,0.57349,0.40973,0.40416,0.16811,3.0282,1.12006,0.00997803,0.00997803,0.00997803
5,273.32,0.23838,1.4651,0.92189,0.42847,0.61776,0.48924,0.48575,0.14892,1.49792,1.08692,0.00996097,0.00996097,0.00996097
6,325.6,0.20466,1.42974,0.91377,0.47319,0.50656,0.4695,0.46472,0.09825,3.44457,1.07094,0.00993906,0.00993906,0.00993906
7,377.279,0.18493,1.3955,0.90932,0.46343,0.65862,0.52112,0.51999,0.06456,1.49279,1.05296,0.00991232,0.00991232,0.00991232
8,427.935,0.17135,1.37464,0.90666,0.40346,0.63563,0.48361,0.4589,0.06107,3.16942,1.0569,0.00988079,0.00988079,0.00988079
9,477.572,0.15925,1.35716,0.90285,0.50304,0.69849,0.59846,0.59718,0.05469,2.0621,1.04906,0.00984449,0.00984449,0.00984449
10,529.278,0.15257,1.34672,0.90331,0.52196,0.67478,0.59102,0.54421,0.16399,1.84468,1.11906,0.00980345,0.00980345,0.00980345
11,580.814,0.14631,1.32538,0.90015,0.5423,0.66508,0.60007,0.59894,0.06136,2.1204,1.05006,0.00975773,0.00975773,0.00975773
12,632.851,0.14301,1.31264,0.89893,0.5431,0.69685,0.62132,0.62059,0.05452,2.299,1.04997,0.00970736,0.00970736,0.00970736
13,684.634,0.13716,1.30241,0.89756,0.59039,0.68061,0.66636,0.66493,0.04317,1.20011,1.04651,0.00965239,0.00965239,0.00965239
14,734.302,0.13303,1.29228,0.89828,0.59053,0.68542,0.66561,0.66458,0.04878,1.51638,1.04866,0.00959289,0.00959289,0.00959289
15,785.547,0.13064,1.27934,0.89852,0.59229,0.69697,0.67669,0.67625,0.0319,1.08073,1.04307,0.00952889,0.00952889,0.00952889
16,836.328,0.12564,1.27147,0.89792,0.61529,0.68093,0.68322,0.68194,0.04296,1.59276,1.04841,0.00946048,0.00946048,0.00946048
17,890.175,0.12403,1.26182,0.89643,0.48851,0.62969,0.57092,0.56625,0.06425,1.13615,1.05373,0.00938772,0.00938772,0.00938772
18,940.248,0.1233,1.26169,0.89678,0.63465,0.70076,0.70857,0.70779,0.0382,1.23904,1.046,0.00931067,0.00931067,0.00931067
19,993.578,0.12135,1.24947,0.89412,0.63588,0.71654,0.71493,0.71435,0.03918,1.29871,1.0448,0.00922942,0.00922942,0.00922942
20,1043.17,0.11952,1.24437,0.89607,0.63187,0.71203,0.71333,0.71162,0.04951,1.73103,1.04821,0.00914405,0.00914405,0.00914405
21,1093.04,0.11648,1.23518,0.89314,0.64578,0.72043,0.72496,0.72442,0.03735,1.69375,1.04385,0.00905463,0.00905463,0.00905463
22,1144.48,0.11512,1.23277,0.89431,0.64915,0.70853,0.73147,0.73079,0.04589,0.91109,1.04543,0.00896127,0.00896127,0.00896127
23,1195.97,0.11154,1.21811,0.89292,0.65451,0.72581,0.73214,0.73066,0.0449,1.46801,1.04563,0.00886404,0.00886404,0.00886404
24,1247.59,0.11158,1.22242,0.89334,0.64739,0.7314,0.74041,0.73926,0.04064,1.52712,1.04545,0.00876305,0.00876305,0.00876305
25,1299.21,0.11105,1.21121,0.89225,0.63793,0.74236,0.7325,0.73038,0.04283,1.45921,1.0481,0.00865839,0.00865839,0.00865839
26,1351.01,0.10927,1.20954,0.89399,0.67104,0.73256,0.74749,0.74677,0.03925,1.6225,1.04483,0.00855018,0.00855018,0.00855018
27,1403.84,0.10693,1.20057,0.89354,0.67459,0.74171,0.75734,0.75642,0.0393,1.06952,1.04406,0.00843851,0.00843851,0.00843851
28,1456.55,0.1057,1.19811,0.89252,0.67207,0.74173,0.75584,0.75503,0.04922,1.0401,1.04421,0.00832349,0.00832349,0.00832349
29,1509.26,0.10404,1.19273,0.89245,0.6687,0.7421,0.75136,0.75034,0.0446,1.41731,1.04571,0.00820525,0.00820525,0.00820525
30,1560.91,0.10429,1.18842,0.89085,0.6704,0.75355,0.76549,0.76493,0.04174,1.2747,1.04379,0.00808389,0.00808389,0.00808389
31,1612.99,0.10277,1.18607,0.89169,0.67352,0.74367,0.75461,0.75431,0.0362,1.34095,1.04349,0.00795954,0.00795954,0.00795954
32,1664.98,0.10219,1.18578,0.89224,0.66982,0.76018,0.7698,0.76925,0.03433,0.98675,1.04317,0.00783231,0.00783231,0.00783231
33,1716.71,0.10183,1.17625,0.89141,0.66496,0.76216,0.76071,0.76048,0.04468,1.3635,1.0426,0.00770234,0.00770234,0.00770234
34,1768.78,0.09942,1.17368,0.89159,0.68446,0.75853,0.77478,0.77426,0.03284,1.06546,1.04264,0.00756976,0.00756976,0.00756976
35,1821.31,0.09905,1.16915,0.89175,0.68859,0.75616,0.77529,0.77492,0.03585,1.39095,1.04266,0.00743468,0.00743468,0.00743468
36,1871.67,0.09772,1.17382,0.89066,0.68416,0.75836,0.77206,0.77161,0.03221,1.6804,1.04269,0.00729725,0.00729725,0.00729725
37,1921.48,0.0971,1.1629,0.89118,0.69096,0.75438,0.7761,0.77575,0.0345,1.5548,1.04273,0.00715761,0.00715761,0.00715761
38,1971.22,0.09524,1.15824,0.88925,0.70483,0.74469,0.77686,0.77621,0.03694,1.64355,1.04353,0.00701588,0.00701588,0.00701588
39,2020.98,0.09564,1.15934,0.89024,0.68941,0.76547,0.77959,0.77881,0.04051,1.28943,1.04293,0.00687222,0.00687222,0.00687222
40,2070.78,0.09393,1.16103,0.89086,0.68781,0.76807,0.78161,0.78081,0.03581,1.21285,1.0435,0.00672675,0.00672675,0.00672675
41,2121.12,0.09209,1.1464,0.89301,0.69963,0.75389,0.77859,0.77775,0.03759,1.35298,1.04314,0.00657963,0.00657963,0.00657963
42,2171.06,0.09185,1.14462,0.89013,0.7054,0.74917,0.78168,0.78055,0.03825,1.46499,1.04313,0.00643101,0.00643101,0.00643101
